Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.321 0.000884272 0.0835427 3.02e-07 2.13703 0.0847396 1.52e-07 1.4e-07 0.00100992
0.322 0.000884272 0.0835427 3.12e-07 2.14234 0.086018 1.33e-07 1.32e-07 0.00102709
0.323 0.000884272 0.0835427 3.59e-07 2.15154 0.0882211 1.36e-07 1.27e-07 0.00100679
0.324 0.000884272 0.0835427 3.07e-07 2.1486 0.088672 1.27e-07 1.28e-07 0.00100448
0.325 0.000884272 0.0835427 4.11e-07 2.14934 0.0915807 1.32e-07 1.31e-07 0.00100468
0.326 0.000884272 0.0835427 3.04e-07 2.17416 0.0861626 1.35e-07 1.29e-07 0.00101363
0.327 0.000884272 0.0835427 3.62e-07 2.18651 0.0931383 1.44e-07 1.31e-07 0.00100203
0.328 0.000884272 0.0835427 3.21e-07 2.20407 0.0872464 1.6e-07 1.28e-07 0.00100876
0.329 0.000884272 0.0835427 3.05e-07 2.20717 0.0872457 1.45e-07 1.29e-07 0.00100477
0.33 0.000884272 0.0835427 3.26e-07 2.2246 0.087673 1.38e-07 1.3e-07 0.00100566
0.331 0.000884272 0.0835427 3.16e-07 2.22694 0.0910581 1.47e-07 1.31e-07 0.00103711
0.332 0.000884272 0.0835427 3.87e-07 2.24184 0.0882201 1.32e-07 1.38e-07 0.00100466
0.333 0.000884272 0.0835427 3.58e-07 2.24857 0.0884438 1.49e-07 1.31e-07 0.00100411
0.334 0.000884272 0.0835427 3.26e-07 2.24336 0.0881634 1.3e-07 1.38e-07 0.00100349
0.335 0.000884272 0.0835427 3.52e-07 2.25183 0.0884238 1.37e-07 1.34e-07 0.00100483
0.336 0.000884272 0.0835427 2.75e-07 2.25422 0.088537 1.48e-07 1.28e-07 0.00100778
0.337 0.000884272 0.0835427 3.21e-07 2.26392 0.0890683 1.31e-07 1.28e-07 0.00100467
0.338 0.000884272 0.0835427 3.47e-07 2.26429 0.08894 1.31e-07 1.29e-07 0.0010037
0.339 0.000884272 0.0835427 3.25e-07 2.27002 0.0893098 1.44e-07 1.29e-07 0.00100366
